from,end_of_year,total_days,rolling_12_months_avg_rate
USD,2012.05.31,366,0.7392270230551913
USD,2012.06.30,366,0.7476033892846994
USD,2012.07.31,366,0.7573028388614754
USD,2012.08.31,366,0.7665946198297814
USD,2012.09.30,366,0.7708417847150273
USD,2012.10.31,366,0.7743432318606558
USD,2012.11.30,366,0.7778156307131147
USD,2012.12.31,366,0.77812695825847
USD,2013.01.31,366,0.776204112254918
USD,2013.02.28,365,0.7756410170854794
USD,2013.03.31,365,0.7768632864528767
USD,2013.04.30,365,0.7776118254693148
USD,2013.05.31,365,0.7767768314241095
USD,2013.06.30,365,0.7736363557501371
USD,2013.07.31,365,0.7695111675578082
USD,2013.08.31,365,0.7647118966720547
USD,2013.09.30,365,0.762357643409041
USD,2013.10.31,365,0.759138294708493
USD,2013.11.30,365,0.7559897166016437
USD,2013.12.31,365,0.7532064609276711
USD,2014.01.31,365,0.7515991338761642
USD,2014.02.28,365,0.75043672523726
USD,2014.03.31,365,0.7463669367797258
USD,2014.04.30,365,0.7427441193879453
USD,2014.05.31,365,0.7391269774389041
USD,2014.06.30,365,0.7371803390745204
USD,2014.07.31,365,0.7349545619210959
USD,2014.08.31,365,0.7349522951586301
USD,2014.09.30,365,0.7371079145668493
USD,2014.10.31,365,0.7418589719000002
USD,2014.11.30,365,0.7468413385794521
USD,2014.12.31,365,0.7538112816980822
USD,2015.01.31,365,0.7644616027654795
USD,2015.02.28,365,0.7758579631063015
USD,2015.03.31,365,0.7928405508460273
USD,2015.04.30,365,0.8094342711501369
USD,2015.05.31,365,0.8236911979205478
USD,2015.06.30,365,0.8365436556136987
USD,2015.07.31,365,0.8510432266372604
USD,2015.08.31,365,0.8636069804936988
USD,2015.09.30,365,0.8730270444553424
USD,2015.10.31,365,0.8816965053046574
USD,2015.11.30,365,0.8923366745430138
USD,2015.12.31,365,0.9013213141758905
USD,2016.01.31,365,0.9065156083115069
USD,2016.02.29,366,0.9079838599568307
USD,2016.03.31,366,0.9059207649898906
USD,2016.04.30,366,0.9022940407030056
USD,2016.05.31,366,0.9013677781765026
USD,2016.06.30,366,0.9011804572010927
USD,2016.07.31,366,0.9007458845142076
USD,2016.08.31,366,0.9002569903494536
USD,2016.09.30,366,0.9004618706773224
USD,2016.10.31,366,0.9016913254174864
USD,2016.11.30,366,0.9012883954174865
USD,2016.12.31,366,0.9039231932314208
USD,2017.01.31,366,0.9057056008327868
USD,2017.02.28,365,0.9086563184621919
USD,2017.03.31,365,0.9117420907956165
USD,2017.04.30,365,0.9160189072421917
USD,2017.05.31,365,0.9177419648610959
USD,2017.06.30,365,0.9178720717871233
USD,2017.07.31,365,0.9148285965841095
USD,2017.08.31,365,0.9108726621663013
USD,2017.09.30,365,0.9065000787827397
USD,2017.10.31,365,0.9018170448515069
USD,2017.11.30,365,0.8957228164542467
USD,2017.12.31,365,0.8868598178657534
USD,2018.01.31,365,0.8766021438175342
USD,2018.02.28,365,0.8666618879819177
USD,2018.03.31,365,0.8561159134156163
USD,2018.04.30,365,0.8462699701526026
USD,2018.05.31,365,0.8411836348928767
USD,2018.06.30,365,0.8383529419147947
USD,2018.07.31,365,0.8372731612021918
USD,2018.08.31,365,0.8389938780832877
USD,2018.09.30,365,0.840569285220274
USD,2018.10.31,365,0.8421893884758904
USD,2018.11.30,365,0.8444648237498631
USD,2018.12.31,365,0.847412361469315
USD,2019.01.31,365,0.8520859752989042
USD,2019.02.28,365,0.8575676224364384
USD,2019.03.31,365,0.8638127726115069
USD,2019.04.30,365,0.8700545564772603
USD,2019.05.31,365,0.8741610116753427
USD,2019.06.30,365,0.8765387215767124
USD,2019.07.31,365,0.8795682729726029
USD,2019.08.31,365,0.8822485332358905
USD,2019.09.30,365,0.8862940207838358
USD,2019.10.31,365,0.8892794308380824
USD,2019.11.30,365,0.8912951258243837
USD,2019.12.31,365,0.8930859775895891
USD,2020.01.31,365,0.8951759508093151
USD,2020.02.29,366,0.8979109640448086
USD,2020.03.31,366,0.8994995132816941
USD,2020.04.30,366,0.9019407837571038
USD,2020.05.31,366,0.9038239759666667
USD,2020.06.30,366,0.9041065165322406
USD,2020.07.31,366,0.9026930465882513
USD,2020.08.31,366,0.8982568531901639
USD,2020.09.30,366,0.8933700098377049
USD,2020.10.31,366,0.8887021563702184
USD,2020.11.30,366,0.8838216870423496
USD,2020.12.31,366,0.8771897943224045
USD,2021.01.31,366,0.8705358361666666
USD,2021.02.28,365,0.8635729331868492
USD,2021.03.31,365,0.8581573209975343
USD,2021.04.30,365,0.85131921214
USD,2021.05.31,365,0.8435062194350683
USD,2021.06.30,365,0.8386748810076712
USD,2021.07.31,365,0.8362395929531508
USD,2021.08.31,365,0.8365669145895891
USD,2021.09.30,365,0.8366584349484932
USD,2021.10.31,365,0.8377195739427398
USD,2021.11.30,365,0.8403129307810958
USD,2021.12.31,365,0.8456169683734247
USD,2022.01.31,365,0.8508221024361643
USD,2022.02.28,365,0.8550439264723285
USD,2022.03.31,365,0.8608760335901369
USD,2022.04.30,365,0.8679905678969864
USD,2022.05.31,365,0.8783902432630136
USD,2022.06.30,365,0.8878924479315068
USD,2022.07.31,365,0.8993187909457534
USD,2022.08.31,365,0.9110745536934247
USD,2022.09.30,365,0.9241597446139724
USD,2022.10.31,365,0.937316436549041
USD,2022.11.30,365,0.9458322736421917
USD,2022.12.31,365,0.9509407742161642
ZAR,2010.12.31,365,0.10327802011726028
ZAR,2011.01.31,365,0.10452063571890412
ZAR,2011.02.28,365,0.10503232489479453
ZAR,2011.03.31,365,0.10536566047178085
ZAR,2011.04.30,365,0.10549403694027396
ZAR,2011.05.31,365,0.10531495194465751
ZAR,2011.06.30,365,0.10492510558575341
ZAR,2011.07.31,365,0.10486514833287668
ZAR,2011.08.31,365,0.10420997685397261
ZAR,2011.09.30,365,0.10332255057726028
ZAR,2011.10.31,365,0.10227335421835618
ZAR,2011.11.30,365,0.10109253071150685
ZAR,2011.12.31,365,0.09955441335972604
ZAR,2012.01.31,365,0.09854203566684933
ZAR,2012.02.29,366,0.09829930438770493
ZAR,2012.03.31,366,0.09800119461557377
ZAR,2012.04.30,366,0.09750597423032789
ZAR,2012.05.31,366,0.0969898146931694
ZAR,2012.06.30,366,0.0963845626193989
ZAR,2012.07.31,366,0.09601138397568307
ZAR,2012.08.31,366,0.09594165382923496
ZAR,2012.09.30,366,0.09572200086202186
ZAR,2012.10.31,366,0.09548595917131147
ZAR,2012.11.30,366,0.09532311010573771
ZAR,2012.12.31,366,0.09495557394480875
ZAR,2013.01.31,366,0.0940353783978142
ZAR,2013.02.28,365,0.09290965163315067
ZAR,2013.03.31,365,0.09157524687452054
ZAR,2013.04.30,365,0.09053727940602739
ZAR,2013.05.31,365,0.08943674675835617
ZAR,2013.06.30,365,0.08785164972821917
ZAR,2013.07.31,365,0.08601363319561643
ZAR,2013.08.31,365,0.08405340417397261
ZAR,2013.09.30,365,0.0824934276068493
ZAR,2013.10.31,365,0.08121849561780821
ZAR,2013.11.30,365,0.0799094219219178
ZAR,2013.12.31,365,0.07839186277643836
ZAR,2014.01.31,365,0.07685071822794519
ZAR,2014.02.28,365,0.0755051351539726
ZAR,2014.03.31,365,0.07408578603835615
ZAR,2014.04.30,365,0.07279533010410959
ZAR,2014.05.31,365,0.07169817742465753
ZAR,2014.06.30,365,0.07114190793972602
ZAR,2014.07.31,365,0.07048071936931508
ZAR,2014.08.31,365,0.07011794958109588
ZAR,2014.09.30,365,0.06976302403589041
ZAR,2014.10.31,365,0.06951934834054795
ZAR,2014.11.30,365,0.06948842857342465
ZAR,2014.12.31,365,0.06950141891534245
ZAR,2015.01.31,365,0.07006241793178082
ZAR,2015.02.28,365,0.07077651257945206
ZAR,2015.03.31,365,0.07156096841178082
ZAR,2015.04.30,365,0.07226260944739725
ZAR,2015.05.31,365,0.07267923053315067
ZAR,2015.06.30,365,0.07296834513589041
ZAR,2015.07.31,365,0.07329328125863015
