from,to,end_of_month,average_rate,number_of_days
NOK,EUR,2013.09.30,0.1252437082,30
NOK,EUR,2013.10.31,0.1232027849,31
NOK,EUR,2013.11.30,0.1219266515,30
NOK,EUR,2013.12.31,0.118796278,31
NOK,EUR,2014.01.31,0.119318452,31
NOK,EUR,2014.02.28,0.1194555762,28
NOK,EUR,2014.03.31,0.1205160006,31
NOK,EUR,2014.04.30,0.1210832435,30
NOK,EUR,2014.05.31,0.1225452781,31
NOK,EUR,2014.06.30,0.1218447222,30
NOK,EUR,2014.07.31,0.1191765785,31
NOK,EUR,2014.08.31,0.1210545049,31
NOK,EUR,2014.09.30,0.1221910794,30
NOK,EUR,2014.10.31,0.1206231308,31
NOK,EUR,2014.11.30,0.1176715611,30
NOK,EUR,2014.12.31,0.1113138031,31
NOK,EUR,2015.01.31,0.1120939458,31
NOK,EUR,2015.02.28,0.1159716777,28
NOK,EUR,2015.03.31,0.1157201339,31
NOK,EUR,2015.04.30,0.117134069,30
NOK,EUR,2015.05.31,0.1185836587,31
NOK,EUR,2015.06.30,0.1141624821,30
NOK,EUR,2015.07.31,0.1120571752,31
NOK,EUR,2015.08.31,0.1090077707,31
NOK,EUR,2015.09.30,0.1075072425,30
NOK,EUR,2015.10.31,0.1077358471,31
NOK,EUR,2015.11.30,0.1078236792,30
NOK,EUR,2015.12.31,0.1057648371,31
NOK,EUR,2016.01.31,0.1044348171,31
NOK,EUR,2016.02.29,0.1046703405,29
NOK,EUR,2016.03.31,0.1059794545,31
NOK,EUR,2016.04.30,0.1071466261,30
NOK,EUR,2016.05.31,0.1074966119,31
NOK,EUR,2016.06.30,0.1071022543,30
NOK,EUR,2016.07.31,0.1067353895,31
NOK,EUR,2016.08.31,0.1074644681,31
NOK,EUR,2016.09.30,0.1085176369,30
NOK,EUR,2016.10.31,0.1110510279,31
NOK,EUR,2016.11.30,0.1100315087,30
NOK,EUR,2016.12.31,0.1107536933,31
NOK,EUR,2017.01.31,0.1110632944,31
NOK,EUR,2017.02.28,0.1128009356,28
NOK,EUR,2017.03.31,0.1100268518,31
NOK,EUR,2017.04.30,0.1086435713,30
NOK,EUR,2017.05.31,0.1064228461,31
NOK,EUR,2017.06.30,0.10528178,30
NOK,EUR,2017.07.31,0.1062566396,31
NOK,EUR,2017.08.31,0.1072332544,31
NOK,EUR,2017.09.30,0.1072364181,30
NOK,EUR,2017.10.31,0.1064295934,31
NOK,EUR,2017.11.30,0.1042018476,30
NOK,EUR,2017.12.31,0.1015810546,31
NOK,EUR,2018.01.31,0.1035778122,31
NOK,EUR,2018.02.28,0.1033944422,28
NOK,EUR,2018.03.31,0.1043910785,31
NOK,EUR,2018.04.30,0.1038557749,30
NOK,EUR,2018.05.31,0.1044427948,31
NOK,EUR,2018.06.30,0.1054795789,30
NOK,EUR,2018.07.31,0.105186817,31
NOK,EUR,2018.08.31,0.1039515117,31
NOK,EUR,2018.09.30,0.1038643758,30
NOK,EUR,2018.10.31,0.105412748,31
NOK,EUR,2018.11.30,0.1038808168,30
NOK,EUR,2018.12.31,0.1018640923,31
NOK,EUR,2019.01.31,0.1023263475,31
NOK,EUR,2019.02.28,0.1026643334,28
NOK,EUR,2019.03.31,0.1028364992,31
NOK,EUR,2019.04.30,0.1039092528,30
NOK,EUR,2019.05.31,0.102305945,31
NOK,EUR,2019.06.30,0.1025635721,30
NOK,EUR,2019.07.31,0.1035238111,31
NOK,EUR,2019.08.31,0.1002620029,31
NOK,EUR,2019.09.30,0.100660447,30
NOK,EUR,2019.10.31,0.0989567412,31
